Keyword,Position,Search Volume,Keyword Difficulty,CPC,URL,Intent
knee brace for arthritis,2,2400,42,1.85,https://bauerfeind.com/knee-arthritis,Commercial
sports knee brace,1,2200,44,1.85,https://bauerfeind.com/sports-knee,Commercial
ankle brace for sprains,3,1900,41,1.52,https://bauerfeind.com/ankle-sprain,Commercial
compression knee sleeve,1,4400,38,1.62,https://bauerfeind.com/compression-knee,Commercial
medical grade knee brace,2,1700,52,2.85,https://bauerfeind.com/medical-grade,Commercial
unloader knee brace,1,820,55,3.40,https://bauerfeind.com/unloader,Commercial
hinged knee brace,2,1600,42,2.15,https://bauerfeind.com/hinged,Commercial
acl knee brace,3,1100,45,2.20,https://bauerfeind.com/acl,Commercial
runners knee brace,1,1100,38,1.95,https://bauerfeind.com/runners-knee,Commercial
mcl knee brace,4,720,40,2.05,https://bauerfeind.com/mcl,Commercial
genutrain knee brace,1,3200,28,2.40,https://bauerfeind.com/genutrain,Commercial
ankle support running,2,860,36,1.45,https://bauerfeind.com/ankle-running,Commercial
back support belt,5,2400,46,1.85,https://bauerfeind.com/back-support,Commercial
sacroiliac belt,3,720,42,2.40,https://bauerfeind.com/sacroiliac,Commercial
patella stabilizing brace,5,290,28,1.85,https://bauerfeind.com/patella,Commercial
post surgery knee brace,4,1300,46,1.95,https://bauerfeind.com/post-surgery,Commercial
osteoarthritis knee brace,3,890,46,2.25,https://bauerfeind.com/osteo,Commercial
